"Procedure","Issues","Critical"
"maint_InsertMissingUserUiSettings","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"maint_reload_part_ids_and_operation_numbers","INSERT/UPDATE/DELETE without ROW_COUNT() check; EXIT HANDLER doesn't set p_Status = -1","False"
"migrate_user_roles_debug","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"query_get_all_usernames_and_roles","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; SELECT query without FOUND_ROWS() check; Missing SET p_Status = 1 for success","False"
"sp_ReassignBatchNumbers","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_AddQuickButton_1","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_Get_ByUser_1","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; SELECT query without FOUND_ROWS() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_Move_1","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_MoveToLast_ByUser","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_RemoveAndShift_ByUser_1","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_RemoveAndShift_ByUser","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_Reorder_ByUser","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_SwapPositions_ByUser","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_Update_ByUserAndDate","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_last_10_transactions_Update_ByUserAndPosition_1","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_role_GetIdByName","Missing SET p_Status = 1 for success","False"
"sys_roles_Get_ById","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; SELECT query without FOUND_ROWS() check; Missing SET p_Status = 1 for success","False"
"sys_user_access_SetType","SELECT query without FOUND_ROWS() check; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_user_GetIdByName","Missing SET p_Status = 1 for success","False"
"sys_user_roles_Add","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_user_roles_Delete","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
"sys_user_roles_Update","Missing OUT p_Status parameter; Missing OUT p_ErrorMsg parameter; Missing EXIT HANDLER FOR SQLEXCEPTION; INSERT/UPDATE/DELETE without ROW_COUNT() check; Missing SET p_Status = 1 for success","False"
