"ProcedureName","Domain","CallSiteCount","ComplianceScore","ComplianceDeficiency","DetectedPattern","RefactoringComplexity","PriorityScore"
"maint_reload_part_ids_and_operation_numbers","uncategorized","0","80","20","SINGLE_STEP","Medium","12"
"log_changelog_Get_Current","logging","1","90","10","READ_ONLY","Low","6.4"
"inv_transactions_GetAnalytics","inventory","2","100","0","READ_ONLY","Low","0.8"
"inv_transactions_SmartSearch","inventory","2","100","0","READ_ONLY","Low","0.8"
"md_item_types_Get_All","master-data","2","100","0","READ_ONLY","Low","0.8"
"md_locations_Get_All","master-data","2","100","0","READ_ONLY","Low","0.8"
"md_operation_numbers_Add_Operation","master-data","2","100","0","SINGLE_STEP","Medium","0.8"
"md_operation_numbers_Get_All","master-data","2","100","0","READ_ONLY","Low","0.8"
"md_part_ids_Get_All","master-data","2","100","0","READ_ONLY","Low","0.8"
"sys_last_10_transactions_AddQuickButton_1","system","2","100","0","MULTI_STEP_SEQUENTIAL","High","0.8"
"sys_user_roles_Update","system","2","100","0","MULTI_STEP_SEQUENTIAL","High","0.8"
"usr_users_Get_All","users","2","100","0","READ_ONLY","Low","0.8"
"usr_users_Get_ByUser","users","2","100","0","READ_ONLY","Low","0.8"
"inv_inventory_Add_Item","inventory","1","100","0","MULTI_STEP_SEQUENTIAL","High","0.4"
"inv_inventory_Fix_BatchNumbers","inventory","1","100","0","MULTI_STEP_SEQUENTIAL","High","0.4"
"inv_inventory_Get_ByPartID","inventory","1","100","0","READ_ONLY","Low","0.4"
"inv_inventory_Get_ByPartIDandOperation","inventory","1","100","0","READ_ONLY","Low","0.4"
"inv_inventory_Get_ByUser","inventory","1","100","0","READ_ONLY","Low","0.4"
"inv_inventory_Remove_Item","inventory","1","100","0","MULTI_STEP_CONDITIONAL","High","0.4"
"inv_inventory_Search_Advanced","inventory","1","100","0","READ_ONLY","Low","0.4"
"inv_inventory_Transfer_Part","inventory","1","100","0","SINGLE_STEP","Medium","0.4"
"inv_inventory_Transfer_Quantity","inventory","1","100","0","MULTI_STEP_SEQUENTIAL","High","0.4"
"inv_transaction_Add","inventory","1","100","0","SINGLE_STEP","Medium","0.4"
"log_error_Add_Error","logging","1","100","0","SINGLE_STEP","Medium","0.4"
"log_error_Get_Unique","logging","1","100","0","READ_ONLY","Low","0.4"
"md_item_types_Add_ItemType","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_item_types_Delete_ByType","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_item_types_Update_ItemType","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_locations_Add_Location","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_locations_Delete_ByLocation","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_locations_Update_Location","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_operation_numbers_Delete_ByOperation","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_operation_numbers_Update_Operation","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_part_ids_Add_Part","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_part_ids_Delete_ByItemNumber","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"md_part_ids_Get_ByItemNumber","master-data","1","100","0","READ_ONLY","Low","0.4"
"md_part_ids_Update_Part","master-data","1","100","0","SINGLE_STEP","Medium","0.4"
"sys_GetUserAccessType","system","1","100","0","READ_ONLY","Low","0.4"
"sys_last_10_transactions_Get_ByUser","system","1","100","0","READ_ONLY","Low","0.4"
"sys_last_10_transactions_RemoveAndShift_ByUser","system","1","100","0","MULTI_STEP_SEQUENTIAL","High","0.4"
"sys_last_10_transactions_Update_ByUserAndPosition_1","system","1","100","0","MULTI_STEP_SEQUENTIAL","High","0.4"
"sys_theme_GetAll","system","1","100","0","READ_ONLY","Low","0.4"
"sys_user_access_SetType","system","1","100","0","MULTI_STEP_SEQUENTIAL","High","0.4"
"sys_user_GetIdByName","system","1","100","0","READ_ONLY","Low","0.4"
"sys_user_roles_Add","system","1","100","0","SINGLE_STEP","Medium","0.4"
"sys_user_roles_Delete","system","1","100","0","SINGLE_STEP","Medium","0.4"
"usr_settings_Get","users","1","100","0","READ_ONLY","Low","0.4"
"usr_settings_GetShortcutsJson","users","1","100","0","READ_ONLY","Low","0.4"
"usr_settings_SetJsonSetting","users","1","100","0","MULTI_STEP_CONDITIONAL","High","0.4"
"usr_settings_SetShortcutsJson","users","1","100","0","SINGLE_STEP","Medium","0.4"
"usr_settings_SetThemeJson","users","1","100","0","MULTI_STEP_SEQUENTIAL","High","0.4"
"usr_users_Add_User","users","1","100","0","SINGLE_STEP","Medium","0.4"
"usr_users_Delete_User","users","1","100","0","SINGLE_STEP","Medium","0.4"
"usr_users_Exists","users","1","100","0","READ_ONLY","Low","0.4"
"usr_users_Update_User","users","1","100","0","SINGLE_STEP","Medium","0.4"
"log_error_Delete_All","logging","0","100","0","SINGLE_STEP","Medium","0"
"log_error_Delete_ById","logging","0","100","0","SINGLE_STEP","Medium","0"
"log_error_Get_All","logging","0","100","0","READ_ONLY","Low","0"
"log_error_Get_ByDateRange","logging","0","100","0","READ_ONLY","Low","0"
"log_error_Get_ByUser","logging","0","100","0","READ_ONLY","Low","0"
"maint_InsertMissingUserUiSettings","uncategorized","0","100","0","SINGLE_STEP","Medium","0"
"md_item_types_Delete_ByID","master-data","0","100","0","SINGLE_STEP","Medium","0"
"migrate_user_roles_debug","uncategorized","0","100","0","MULTI_STEP_CONDITIONAL","High","0"
"query_get_all_usernames_and_roles","uncategorized","0","100","0","READ_ONLY","Low","0"
"sp_ReassignBatchNumbers","uncategorized","0","100","0","MULTI_STEP_SEQUENTIAL","High","0"
"sys_last_10_transactions_Get_ByUser_1","system","0","100","0","READ_ONLY","Low","0"
"sys_last_10_transactions_Move_1","system","0","100","0","MULTI_STEP_CONDITIONAL","High","0"
"sys_last_10_transactions_MoveToLast_ByUser","system","0","100","0","MULTI_STEP_CONDITIONAL","High","0"
"sys_last_10_transactions_RemoveAndShift_ByUser_1","system","0","100","0","MULTI_STEP_SEQUENTIAL","High","0"
"sys_last_10_transactions_Reorder_ByUser","system","0","100","0","MULTI_STEP_CONDITIONAL","High","0"
"sys_last_10_transactions_SwapPositions_ByUser","system","0","100","0","MULTI_STEP_SEQUENTIAL","High","0"
"sys_last_10_transactions_Update_ByUserAndDate","system","0","100","0","MULTI_STEP_SEQUENTIAL","High","0"
"sys_role_GetIdByName","system","0","100","0","READ_ONLY","Low","0"
"sys_roles_Get_ById","system","0","100","0","READ_ONLY","Low","0"
"sys_user_GetByName","system","0","100","0","READ_ONLY","Low","0"
