"File","Line","Method","ReturnType","Visibility"
"Dao_ErrorLog.cs","57","GetAllErrorsAsync","Task<DataTable>","internal"
"Dao_ErrorLog.cs","60","GetErrorsByUserAsync","Task<DataTable>","internal"
"Dao_ErrorLog.cs","105","DeleteErrorByIdAsync","Task","internal"
"Dao_ErrorLog.cs","109","DeleteAllErrorsAsync","Task","internal"
"Dao_ErrorLog.cs","192","HandleException_SQLError_CloseApp","Task","internal"
"Dao_ErrorLog.cs","255","HandleException_GeneralError_CloseApp","Task","internal"
"Dao_History.cs","14","AddTransactionHistoryAsync","Task","public"
"Dao_User.cs","22","GetLastShownVersionAsync","Task<string>","internal"
"Dao_User.cs","32","SetLastShownVersionAsync","Task","internal"
"Dao_User.cs","41","GetHideChangeLogAsync","Task<string>","internal"
"Dao_User.cs","51","SetHideChangeLogAsync","Task","internal"
"Dao_User.cs","60","GetThemeNameAsync","Task<string?>","internal"
"Dao_User.cs","70","GetThemeFontSizeAsync","Task<int?>","internal"
"Dao_User.cs","92","SetThemeFontSizeAsync","Task","internal"
"Dao_User.cs","101","GetVisualUserNameAsync","Task<string>","internal"
"Dao_User.cs","112","SetVisualUserNameAsync","Task","internal"
"Dao_User.cs","121","GetVisualPasswordAsync","Task<string>","internal"
"Dao_User.cs","132","SetVisualPasswordAsync","Task","internal"
"Dao_User.cs","141","GetWipServerAddressAsync","Task<string>","internal"
"Dao_User.cs","152","SetWipServerAddressAsync","Task","internal"
"Dao_User.cs","163","GetDatabaseAsync","Task<string>","internal"
"Dao_User.cs","174","SetDatabaseAsync","Task","internal"
"Dao_User.cs","188","GetWipServerPortAsync","Task<string>","internal"
"Dao_User.cs","199","SetWipServerPortAsync","Task","internal"
"Dao_User.cs","211","GetUserFullNameAsync","Task<string?>","internal"
"Dao_User.cs","248","GetSettingsJsonAsync","Task<string>","public"
"Dao_User.cs","306","SetSettingsJsonAsync","Task","public"
"Dao_User.cs","340","SetGridViewSettingsJsonAsync","Task","public"
"Dao_User.cs","375","GetGridViewSettingsJsonAsync","Task<string>","public"
"Dao_User.cs","751","GetShortcutsJsonAsync","Task<string>","internal"
"Dao_User.cs","784","SetShortcutsJsonAsync","Task","internal"
"Dao_User.cs","818","SetThemeNameAsync","Task","internal"
